credit_score,income,loan_amount,employment_status,label
756,94283,22743,0,0
746,146484,18165,0,0
711,44998,12085,1,1
670,112813,33669,0,0
708,51222,12830,1,1
608,71025,32846,1,0
607,99760,26896,1,0
617,103325,33488,0,0
587,106990,14254,1,0
721,99252,48901,1,1
618,35992,12221,1,0
676,113729,23594,0,0
639,63278,15531,0,0
680,98723,22087,0,0
685,108150,33917,0,0
625,107944,44102,1,0
704,26401,41109,0,0
780,65584,28345,1,1
628,52135,24545,0,0
691,135529,15230,1,1
690,77057,45016,0,0
748,31795,17814,0,0
779,97980,32350,0,0
551,36712,42754,0,0
595,121444,14870,1,0
776,92132,11946,0,0
769,33216,29171,1,0
712,103845,10628,0,0
561,71150,40542,0,0
682,32390,28913,0,0
716,89530,44705,1,1
555,28481,19589,0,0
562,121569,27561,0,0
556,110778,49541,0,0
779,105967,21414,1,1
673,40244,48158,0,0
575,137460,14161,0,0
678,112520,14233,1,0
760,108636,32157,1,1
749,116974,19659,0,0
725,38939,46706,0,0
727,149003,28222,0,0
734,54320,19859,0,0
580,73194,27187,1,0
786,30345,17851,0,0
603,149168,10583,0,0
592,41149,16442,0,0
674,78732,24677,1,0
760,88162,27550,0,0
669,64775,19155,0,0
736,52283,35308,0,0
687,74538,20903,0,0
683,122001,24987,0,0
607,86360,12105,0,0
616,52531,29713,1,0
648,96379,30262,0,0
665,77086,37868,0,0
708,133850,13323,0,0
580,127375,25876,0,0
635,48141,41634,0,0
599,79647,11646,0,0
790,51314,16553,0,0
585,86382,28473,1,0
598,58939,43838,1,0
695,102504,39783,0,0
605,36588,11858,0,0
755,136678,42934,1,1
768,125785,24782,0,0
570,122769,33018,0,0
610,93461,23099,1,0
663,86637,15710,0,0
631,134831,17498,1,0
749,94897,23962,1,1
684,105724,45405,1,1
657,83180,43481,0,0
605,92623,44919,1,0
782,93635,39256,1,1
752,118101,26852,1,1
711,63978,26720,0,0
733,116025,41757,1,1
689,107161,41280,1,1
729,65116,37472,0,0
582,94123,23272,1,0
602,108367,40493,1,0
713,59052,36409,0,0
648,86190,45213,1,0
744,87100,13468,1,1
562,44013,24515,0,0
672,101787,46614,0,0
580,38570,17215,0,0
557,129933,16068,0,0
568,119546,20906,0,0
685,48613,26936,1,0
717,33759,30667,0,0
667,93787,42544,0,0
580,88694,40357,1,0
661,85592,29930,0,0
746,122874,26394,0,0
629,41064,43892,1,0
765,107777,31944,0,0
791,34508,35231,1,0
644,131868,45383,1,0
762,123871,41673,0,0
695,117589,15559,0,0
698,139335,19888,1,1
712,99736,45251,1,1
625,135977,13574,0,0
577,111446,33966,1,0
790,96624,32878,0,0
789,133247,42555,0,0
755,134097,39598,1,1
679,94169,43266,1,0
735,145474,34492,0,0
585,68691,32815,0,0
621,57353,24073,1,0
568,135190,17872,1,0
705,70086,28617,1,1
787,100364,19201,1,1
693,125158,34834,1,1
749,65921,44263,0,0
660,96726,24110,1,0
625,69508,16384,0,0
755,111505,19927,0,0
597,131591,44311,0,0
563,131073,38120,0,0
579,38425,35936,1,0
794,140311,27740,0,0
637,39461,38006,0,0
699,133324,12049,1,1
656,101147,14970,1,0
617,85984,25985,0,0
702,129805,20576,1,1
591,136488,48880,1,0
633,75069,28277,1,0
582,137076,31127,0,0
595,137445,29357,1,0
694,103132,27033,1,1
753,145512,42194,0,0
748,41610,17689,0,0
606,119342,20536,1,0
741,45168,44390,0,0
718,78535,44474,1,0
702,62864,44641,0,0
583,75464,35450,0,0
765,109594,23189,0,0
755,29809,43222,1,0
699,89728,13096,1,1
673,38113,32436,0,0
613,77668,33633,0,0
564,48126,25278,1,0
580,87213,17563,0,0
615,146341,18164,1,0
588,91664,32560,1,0
720,119887,30844,0,0
647,85945,20228,1,0
683,43018,19757,0,0
582,88726,19997,0,0
641,34605,40357,1,0
559,71482,35019,1,0
686,91464,16950,0,0
564,147720,44434,1,0
659,35125,25708,1,0
698,34696,46149,0,0
668,116540,19856,0,0
754,53318,45163,1,0
552,140824,46120,0,0
658,27506,23076,0,0
665,43613,17223,1,0
796,25582,27317,1,0
586,108985,46043,1,0
612,35284,31495,1,0
768,96159,15572,0,0
687,134237,32805,0,0
566,52284,30670,0,0
656,39297,27078,0,0
635,85400,48925,0,0
560,91251,48212,0,0
644,114960,31106,0,0
729,63746,16617,1,1
583,51884,44769,1,0
771,61467,37149,0,0
643,123535,49914,1,0
688,115766,48713,0,0
777,43871,10756,1,1
747,104014,44049,1,1
632,55245,44100,1,0
609,95013,43211,1,0
661,108021,22919,1,0
662,59564,31107,0,0
571,52428,40910,1,0
660,40026,46574,1,0
746,117207,14782,0,0
636,95271,40538,0,0
662,62437,49259,1,0
581,146210,17592,0,0
613,131318,23400,0,0
703,105078,49390,1,1
690,110215,16402,1,1
555,40001,45433,1,0
662,30233,46356,1,0
591,87272,43249,1,0
572,98662,47944,1,0
563,141988,19585,1,0
618,122478,20946,0,0
773,88724,41541,1,1
711,118034,16228,0,0
750,31796,38645,1,0
663,70839,34602,1,0
728,116757,15961,0,0
631,93932,19186,0,0
719,118662,22485,1,1
742,96065,22838,1,1
736,124667,19403,0,0
624,70703,30622,0,0
768,25839,49625,0,0
750,139936,28350,0,0
663,104656,41651,1,0
730,71019,49042,0,0
578,82726,19529,1,0
571,84418,33152,1,0
710,90742,14906,1,1
764,131912,19860,1,1
688,139333,26596,1,1
562,115252,42229,1,0
758,39824,40116,0,0
600,136334,14506,1,0
694,125823,10741,1,1
550,69039,14927,1,0
799,139004,22007,1,1
589,51111,15624,0,0
793,36739,25848,0,0
594,85414,38631,1,0
747,60621,28686,1,1
669,149399,26435,1,0
622,127033,26388,0,0
758,93936,15126,0,0
709,71333,19215,1,1
627,128600,19377,0,0
619,119836,28716,1,0
698,141723,49665,0,0
672,140204,49687,1,0
748,72399,46497,0,0
625,144555,31338,0,0
621,83815,37779,1,0
585,69503,26171,1,0
557,117576,11967,0,0
568,121395,47068,1,0
642,131675,24921,1,0
769,69072,20300,0,0
657,34845,23722,0,0
652,62363,45208,0,0
780,100370,49664,1,1
595,79991,40492,0,0
656,107331,10285,0,0
791,103995,22225,0,0
560,34262,39305,1,0
779,68712,19981,1,1
760,26526,34615,0,0
581,133599,13967,0,0
744,129630,24498,1,1
622,80623,29355,0,0
747,136068,45341,1,1
563,139840,12674,0,0
724,83544,16654,1,1
783,59231,19974,1,1
685,147043,23146,1,1
706,86871,17342,1,1
647,48260,49414,0,0
627,142243,40757,0,0
777,126313,17191,0,0
760,45100,45036,1,0
597,129848,13418,1,0
572,125157,40026,0,0
562,93347,34352,0,0
581,65209,47291,1,0
606,62996,19899,0,0
570,146618,39601,1,0
575,49975,21419,0,0
626,136744,43778,0,0
603,72469,28156,0,0
561,34634,17783,0,0
662,36211,27443,1,0
624,57880,32698,0,0
675,88150,47208,1,0
628,101163,23778,1,0
732,31863,42339,1,0
708,68291,14610,1,1
712,115319,21136,0,0
720,124446,45003,0,0
655,100579,22959,0,0
704,33716,14914,0,0
718,44467,44216,1,0
763,91639,14739,1,1
613,66964,38052,1,0
770,148373,26020,1,1
695,51403,19612,0,0
553,79895,26556,0,0
779,70148,39031,0,0
793,91699,49511,0,0
558,80782,33608,1,0
613,124329,48193,1,0
606,93859,31791,1,0
745,27898,14813,1,0
629,129384,43224,1,0
795,95789,36292,1,1
630,52597,12170,1,0
615,87464,48999,0,0
626,58484,14607,1,0
721,72658,19389,1,1
573,87444,25362,0,0
550,86494,39852,1,0
699,64841,45272,0,0
698,84676,35609,0,0
665,36696,26720,1,0
587,112387,21571,1,0
739,141727,22140,1,1
710,62105,38186,1,0
594,68704,39031,0,0
749,31996,29751,0,0
556,133621,23928,1,0
613,31446,49044,0,0
598,92996,48983,1,0
776,128539,41070,1,1
569,25437,24233,0,0
730,78401,39297,1,0
600,33195,43027,1,0
567,28578,38551,1,0
729,44002,29320,0,0
595,69006,42190,0,0
788,106682,30076,1,1
583,26271,42794,1,0
761,119683,22052,0,0
556,62829,41645,1,0
685,52732,16082,1,1
705,107976,15566,1,1
586,98308,40622,0,0
741,44758,37159,1,0
550,99046,23439,1,0
687,35879,40569,0,0
781,54751,48390,0,0
757,87564,23355,0,0
731,91419,45100,0,0
563,66682,33328,1,0
730,118038,29060,1,1
793,131366,40039,0,0
639,44615,31068,1,0
591,71020,49653,1,0
672,42004,18377,0,0
694,30205,25777,0,0
653,58967,32165,1,0
701,27394,29409,0,0
759,73135,30857,0,0
800,77729,45883,0,0
763,69557,24239,1,1
687,32964,10831,0,0
795,40175,18725,1,1
617,75386,12917,0,0
779,136310,32495,0,0
644,32069,36443,0,0
570,26571,15961,0,0
731,31633,15857,1,0
728,87800,33343,0,0
786,131914,20652,1,1
719,42700,49639,0,0
688,90569,30317,0,0
709,131139,49765,0,0
798,104186,26103,1,1
678,115390,36993,1,0
571,100220,11766,0,0
736,68440,41725,1,0
606,68555,32510,0,0
663,54636,24584,0,0
555,97168,48769,0,0
573,81347,22675,0,0
659,144400,41286,0,0
744,39142,33743,0,0
568,49193,32921,1,0
674,82328,19042,0,0
750,98558,23862,1,1
655,99132,23187,0,0
670,106736,28094,1,0
576,28674,38340,1,0
744,103345,32133,0,0
617,26840,18115,1,0
773,41642,40201,0,0
573,95808,38326,0,0
786,33496,24568,0,0
791,87301,21895,0,0
757,28074,45378,1,0
752,49378,37276,1,0
762,128112,20405,0,0
615,100986,24288,1,0
785,30866,12492,0,0
609,95428,12863,1,0
780,139994,31287,1,1
658,43843,47667,0,0
557,137623,13291,0,0
751,55702,45301,0,0
562,113836,47403,1,0
658,73095,19683,0,0
747,116640,40516,0,0
714,124490,26601,0,0
693,85008,32724,0,0
742,104591,49579,0,0
577,105484,12999,0,0
721,43460,36804,0,0
765,110120,20718,0,0
594,101575,40940,0,0
588,116376,22606,1,0
675,101756,24132,0,0
579,145229,11275,1,0
790,101553,33299,0,0
623,93864,27036,1,0
599,31058,24847,1,0
799,99041,44171,1,1
637,121373,40657,1,0
714,115016,18415,0,0
768,61114,34740,1,0
666,54062,15384,1,0
733,121076,33639,0,0
709,84962,46914,0,0
728,124583,43019,1,1
605,79164,36520,1,0
601,79827,49322,1,0
753,95700,34232,0,0
700,112506,15647,1,1
593,30397,28209,0,0
758,125097,39700,1,1
626,147136,30596,1,0
712,33457,33812,0,0
765,137036,43712,1,1
702,126635,17898,1,1
683,134462,46137,1,1
715,34112,39510,1,0
685,60842,47226,1,0
669,27259,18479,1,0
577,140842,34541,0,0
660,148082,18877,1,0
724,83794,39600,1,1
580,42949,25644,0,0
792,32460,25121,0,0
678,119346,10774,1,0
735,113720,29812,0,0
601,124778,20808,0,0
659,128129,15995,0,0
599,138273,45600,1,0
627,70140,20346,0,0
781,142861,38393,0,0
601,146369,49786,0,0
653,78904,26811,1,0
578,106550,20105,0,0
778,110169,45821,1,1
659,72500,19590,0,0
652,67856,15859,0,0
630,40829,17267,0,0
622,78681,12438,1,0
773,55697,11100,1,1
714,115290,37499,0,0
623,30885,11643,0,0
725,54604,27759,1,0
561,59392,24151,0,0
698,45340,31044,0,0
749,69898,43198,1,0
667,94205,38631,1,0
736,120331,34559,1,1
783,67673,19687,0,0
590,105032,31436,0,0
677,80847,41229,1,0
777,96702,44077,1,1
797,64545,48896,1,0
757,75110,37606,1,0
573,75038,22032,1,0
715,67081,34783,1,0
730,30996,40238,0,0
789,117658,39527,0,0
616,90157,49022,1,0
609,88319,10621,1,0
787,58103,37141,0,0
684,129585,25086,1,1
784,110977,31891,0,0
610,106720,17171,0,0
678,69844,23744,0,0
787,49287,10268,1,1
743,53773,48012,0,0
584,128576,47833,0,0
774,131789,18590,1,1
794,36787,22400,1,0
751,32254,37224,0,0
793,98275,31999,1,1
630,80344,39099,1,0
676,67621,29104,1,0
729,74843,17990,0,0
583,27633,28611,0,0
588,103181,23189,0,0
728,103293,39197,0,0
725,49300,42597,0,0
729,51760,35866,1,0
739,140098,40252,1,1
663,93397,40718,0,0
760,91114,18540,1,1
579,57196,25202,1,0
595,38229,41363,0,0
762,132247,27294,0,0
583,49293,39628,0,0
594,135498,25372,0,0
713,88491,36523,0,0
707,139484,23176,1,1
668,88935,48400,0,0
747,46013,29772,1,0
589,92148,34427,0,0
709,114610,23254,1,1
735,54183,28505,0,0
787,98066,48022,0,0
684,70613,46551,1,0
717,52856,42958,0,0
752,131851,33388,0,0
673,143920,29644,0,0
773,122611,46505,1,1
641,116688,49856,0,0
798,61087,45481,1,0
787,27185,25732,0,0
572,28032,31751,0,0
748,81591,46382,0,0
666,119933,36749,1,0
564,51534,32310,0,0
732,58472,13079,0,0
751,72787,30941,1,1
671,144755,10200,0,0
682,99415,35208,1,1
604,28184,24055,0,0
755,119145,21663,1,1
681,52798,17675,0,0
617,113541,25488,1,0
710,114009,21294,0,0
653,133884,44788,0,0
582,116216,48969,1,0
778,124133,10936,1,1
780,98546,22369,0,0
640,72464,27406,0,0
792,99555,42666,1,1
582,81995,26574,1,0
648,93992,46978,0,0
776,37276,41178,0,0
568,102032,38149,0,0
633,145391,15477,0,0
790,91488,13793,1,1
571,26230,11945,0,0
669,47432,44924,0,0
727,112055,17402,0,0
650,59565,13226,1,0
607,123741,46822,0,0
754,63854,33087,0,0
609,54515,11921,1,0
568,87447,43574,1,0
762,37079,18681,0,0
593,48214,16493,1,0
562,28338,28330,1,0
633,94085,35816,1,0
745,134785,24585,1,1
567,46521,17395,0,0
659,44118,33746,0,0
686,136711,39468,1,1
659,83687,12818,1,0
671,78674,28604,0,0
781,55449,47396,0,0
736,137091,30033,0,0
658,47674,40990,0,0
757,140872,27800,1,1
639,72858,46813,1,0
676,140117,35108,0,0
648,104168,13652,1,0
653,104367,34561,0,0
767,69129,39262,0,0
651,85918,24629,1,0
566,108235,17562,0,0
579,59219,39342,1,0
725,104542,39021,0,0
580,117177,27783,0,0
791,116121,18300,1,1
607,125079,20982,0,0
767,137769,28927,1,1
600,66023,36896,1,0
611,69078,10533,1,0
799,41420,25996,0,0
785,25635,21878,1,0
680,88709,45246,0,0
780,88673,31421,0,0
684,109560,21753,0,0
679,84546,25260,0,0
594,57441,44967,0,0
615,73808,34075,1,0
616,50383,31686,1,0
623,102395,29612,1,0
699,148680,36608,1,1
773,55709,25711,0,0
556,49792,39711,0,0
571,71670,19188,0,0
653,52668,31370,0,0
595,121661,32272,0,0
575,145797,36781,1,0
798,67600,40543,1,0
686,80514,12710,0,0
790,32875,48990,0,0
754,105743,31801,1,1
764,98501,32054,1,1
637,101215,13534,0,0
733,37852,24442,1,0
799,122892,25105,1,1
668,79244,35611,0,0
743,89405,30356,0,0
665,56923,11718,1,0
745,104376,11552,0,0
567,137656,18237,0,0
581,44123,15805,1,0
588,106687,29303,0,0
742,39737,26217,1,0
600,77082,39554,1,0
629,63810,45938,1,0
730,47082,11075,1,1
597,86483,34947,1,0
715,127052,18258,1,1
710,144293,38310,0,0
593,128039,12221,1,0
787,107191,18102,0,0
717,142287,48891,0,0
583,142031,13088,0,0
703,121115,15764,0,0
575,140720,33950,1,0
703,99931,45995,1,1
590,56153,27251,0,0
608,118345,31538,1,0
611,135045,15642,0,0
658,81153,42784,0,0
568,134179,39679,1,0
675,83992,17111,0,0
618,126916,43096,0,0
753,128166,26214,0,0
699,41756,32171,0,0
675,35563,28053,0,0
689,90822,28931,0,0
711,146038,20638,1,1
694,32752,38882,0,0
799,54191,31093,0,0
710,146917,23991,0,0
568,113868,16657,0,0
698,117683,14670,0,0
719,75423,33352,0,0
591,89772,17545,0,0
588,87092,22492,0,0
751,95065,29393,1,1
579,46145,26268,1,0
552,69385,32542,1,0
647,92491,39972,1,0
694,131299,33913,1,1
649,147199,21451,1,0
585,146918,25089,1,0
676,133890,46419,0,0
765,47814,29945,0,0
674,132376,43165,1,0
635,52125,14664,1,0
696,42757,20569,1,1
694,109297,13935,1,1
566,88440,19133,0,0
668,119430,18894,1,0
634,115785,18223,0,0
570,37324,22905,1,0
551,110590,19358,0,0
615,69562,24106,1,0
798,125755,41004,1,1
796,44714,47125,0,0
767,43943,39821,0,0
654,103119,30599,0,0
717,137164,38684,0,0
652,128703,12083,1,0
715,43115,45695,1,0
709,53615,19027,0,0
727,113785,33612,1,1
709,47709,20180,1,1
719,98956,15916,0,0
559,125998,21807,1,0
619,117020,32894,0,0
736,41546,19746,1,1
607,26902,28728,0,0
708,106793,40836,1,1
726,56310,41402,0,0
694,35400,36031,1,0
776,134559,14919,1,1
733,146557,20366,1,1
684,90771,36853,1,1
596,50438,17684,0,0
566,67604,13973,0,0
696,112210,11482,0,0
734,102140,44246,0,0
642,99558,37774,0,0
676,138475,13837,0,0
665,50301,11979,0,0
754,44054,16640,1,1
619,140245,27752,1,0
788,34816,15444,1,1
775,114043,13237,1,1
689,67825,34482,1,0
573,132801,49244,1,0
772,137459,47276,1,1
725,100408,32334,1,1
696,124632,44696,0,0
576,91480,46196,1,0
644,38463,26006,1,0
596,30816,16735,0,0
614,37295,27694,1,0
587,41176,37387,1,0
619,118645,44009,0,0
693,118387,44521,1,1
755,136278,18262,0,0
776,79602,17457,1,1
635,78411,14013,1,0
730,130009,21847,1,1
641,40059,12936,1,0
607,87272,20921,1,0
594,96880,37373,0,0
556,79176,27008,1,0
777,111973,45503,0,0
551,137310,12136,0,0
763,96963,10881,1,1
711,91633,46359,1,0
631,53285,48038,0,0
587,130620,31216,0,0
573,122206,33735,1,0
765,85659,17096,0,0
748,59349,33708,1,0
698,72833,13831,1,1
654,72842,14592,1,0
666,119644,47634,0,0
555,106861,24529,1,0
562,114507,49348,1,0
632,73605,45041,0,0
754,65541,24552,0,0
720,44572,44640,0,0
609,25635,40629,0,0
743,75997,14709,1,1
753,99664,32463,1,1
707,87341,17498,1,1
597,84204,25179,0,0
684,94083,29479,0,0
757,140307,40941,1,1
661,30815,22618,0,0
619,45162,15390,0,0
628,129157,32724,1,0
800,36285,19437,1,0
743,96048,25225,1,1
779,149821,13002,0,0
762,52893,15999,1,1
677,39752,39299,0,0
696,131362,49436,1,1
730,32612,10390,0,0
564,149078,44199,1,0
631,146412,19471,1,0
689,45751,13436,0,0
719,114699,48821,0,0
735,115564,27132,0,0
629,81861,39090,1,0
597,59361,41978,1,0
669,62485,21132,0,0
741,26868,16488,0,0
722,49225,19272,0,0
701,46226,29798,1,0
737,133751,14306,0,0
621,142849,15780,0,0
680,140306,21864,1,1
649,56304,46790,1,0
590,143349,34207,0,0
699,95944,47568,0,0
783,136624,32691,0,0
795,119856,42651,0,0
800,92297,12596,1,1
698,136570,49891,1,1
674,58447,12145,1,0
766,111593,17339,0,0
585,83983,44560,0,0
607,89663,41263,1,0
618,64667,45054,0,0
708,47574,40088,1,0
630,100170,10598,1,0
574,66177,21517,0,0
642,127162,48709,0,0
554,60233,18197,1,0
799,121952,16835,1,1
790,44514,32957,1,0
792,26097,45151,1,0
600,35734,43399,0,0
651,47784,32994,0,0
776,50126,33580,1,0
681,27396,11571,1,1
691,44843,41797,1,0
591,41677,45716,1,0
678,125939,41964,0,0
552,27995,30658,0,0
710,98636,30591,1,1
716,128057,22900,1,1
767,67382,20962,0,0
586,117133,19085,1,0
667,99624,32335,1,0
612,97608,10756,0,0
767,110009,34440,1,1
701,90785,21075,1,1
642,27246,44680,1,0
613,118527,24567,0,0
620,99931,49473,1,0
596,76318,10623,1,0
739,147464,22035,0,0
631,134222,30213,1,0
617,77426,32751,1,0
660,86505,43776,0,0
569,131528,11620,1,0
604,104907,31984,1,0
562,70697,19024,0,0
558,146204,49778,1,0
679,94598,14916,1,0
755,69062,18944,1,1
684,37788,25559,1,0
661,56363,17775,0,0
684,145141,43228,1,1
550,117221,30076,0,0
718,29530,14710,1,1
786,92539,32627,1,1
799,54867,22329,0,0
598,48213,15955,1,0
611,110614,24214,1,0
578,42559,10916,1,0
609,44035,19920,0,0
767,137330,41898,0,0
567,61384,31998,1,0
650,55812,36978,1,0
693,37404,46449,1,0
603,31858,25453,0,0
552,109251,30131,1,0
636,67042,34303,0,0
595,146270,37933,1,0
576,61706,47807,1,0
696,98119,20067,1,1
784,58292,26625,1,1
586,32179,35609,1,0
727,143754,47606,0,0
712,65675,18129,0,0
682,139830,30244,1,1
766,131861,36878,0,0
667,120914,41275,0,0
780,120157,29012,0,0
721,105466,16054,1,1
780,107782,27141,0,0
734,91057,43354,1,1
710,133774,30916,1,1
724,139839,37893,1,1
